step,loss,perplexity,learning_rate
443,6.284571081399918,536.2342404648901,0.00029998658731532357
444,6.239015370607376,512.3537839040137,0.00029998647669755895
445,6.167416766285896,476.95243373643655,0.00029998636562554234
446,6.364380866289139,580.7851333240569,0.0002999862540992742
447,6.353563264012337,574.5362904288276,0.0002999861421187547
448,6.428560063242912,619.2815793805662,0.00029998602968398435
449,6.330194771289825,561.2659016912382,0.0002999859167949635
450,6.348830968141556,571.8238378401378,0.00029998580345169256
451,6.27268348634243,529.8974442156474,0.0002999856896541719
452,6.474353164434433,648.2997486239817,0.00029998557540240184
453,6.19508059322834,490.3309607607278,0.00029998546069638285
454,6.503664702177048,667.5836509361338,0.00029998534553611525
455,6.330594182014465,561.4901220867829,0.00029998522992159945
456,6.312635987997055,551.4967733503182,0.0002999851138528359
457,6.367629110813141,582.6747327320187,0.00029998499732982495
458,6.357774049043655,576.9606398655553,0.0002999848803525669
459,6.1974858939647675,491.51177371757944,0.00029998476292106226
460,6.181723192334175,483.824961897699,0.0002999846450353114
461,6.260624200105667,523.5456353767064,0.00029998452669531474
462,6.2602623999118805,523.3562507261385,0.0002999844079010726
463,6.346602559089661,570.5509991531538,0.00029998428865258533
464,6.33820416033268,565.7793495058762,0.00029998416894985356
465,6.164241924881935,475.44058660942096,0.0002999840487928775
466,6.322135284543037,556.7605663275615,0.0002999839281816576
467,6.457886233925819,637.7116576481034,0.0002999838071161943
468,6.303078696131706,546.2510650366296,0.000299983685596488
469,6.3564388155937195,576.1907768077427,0.000299983563622539
470,6.1767648011446,481.43190622530904,0.00029998344119434785
471,6.3945944756269455,598.6005268929483,0.000299983318311915
472,6.398117810487747,600.7133168446286,0.0002999831949752407
473,6.235566630959511,510.5898525141113,0.00029998307118432545
474,6.293998822569847,541.3136240249803,0.0002999829469391696
475,6.168144881725311,477.2998366266626,0.00029998282223977373
476,6.259579300880432,522.998868655735,0.0002999826970861381
477,6.395377621054649,599.0695017724028,0.0002999825714782632
478,6.313879087567329,552.1827650419278,0.00029998244541614956
479,6.108005866408348,449.44157441463483,0.00029998231889979726
480,6.222680866718292,504.05272047524664,0.0002999821919292072
481,6.324857726693153,558.2783799032176,0.00029998206450437934
482,6.367602005600929,582.6589394237792,0.00029998193662531447
483,6.193385064601898,489.5002949881264,0.0002999818082920128
484,6.14811447262764,467.8344399914974,0.0002999816795044749
485,6.2564467042684555,521.363087630447,0.000299981550262701
486,6.232125997543335,508.8361187132022,0.0002999814205666919
487,6.140889555215836,464.4665557928789,0.00029998129041644767
488,6.248466148972511,517.2188792176544,0.00029998115981196894
489,6.17139233648777,478.85236577391396,0.000299981028753256
490,6.3110945373773575,550.647323168227,0.00029998089724030954
491,6.172293454408646,479.2840626978718,0.00029998076527312984
492,6.324210897088051,557.9173856826684,0.00029998063285171725
493,6.273929983377457,530.5583716451944,0.0002999804999760724
494,6.310684025287628,550.4213221761329,0.00029998036664619565
495,6.298486545681953,543.7483487854958,0.0002999802328620875
496,6.223937556147575,504.6865563848966,0.0002999800986237483
497,6.064252883195877,430.2011470705681,0.0002999799639311786
498,5.958823844790459,387.1545025643159,0.0002999798287843788
499,6.235358789563179,510.48374183369,0.0002999796931833494
500,6.179704651236534,482.8493263395487,0.00029997955712809086
501,6.187453255057335,486.6052673313789,0.00029997942061860345
502,6.309324413537979,549.6734713878072,0.0002999792836548879
